FFL_num	FFL_XYZ	ave	reg	XY	XZ	YZ
000100110: 13 156 75	YLL050C YDR207C YIL131C	75.9126666667	binding enriched|binding enriched|binding enriched	94.409	29.972	103.357
000100110: 13 12 10	YLL050C YLR071C YIL101C	31.3516666667	binding enriched|binding enriched|binding enriched	36.168	22.399	35.488
000100110: 13 10 156	YLL050C YIL101C YDR207C	70.4696666667	-|binding enriched|binding enriched	85.653	103.357	22.399
000100110: 13 10 75	YLL050C YIL101C YIL131C	22.713	binding enriched|binding enriched|binding enriched	15.768	29.972	22.399
000100110: 14 175 75	YDR397C YGL073W YIL131C	76.2243333333	binding enriched|binding enriched|+	15.988	101.091	111.594
000100110: 15 20 44	YHR161C YPR104C YDR259C	75.5933333333	binding enriched|binding enriched|binding enriched	65.067	101.597	60.116
000100110: 19 175 10	YHR141C YGL073W YIL101C	55.4076666667	binding enriched|binding enriched|+	31.343	61.255	73.625
000100110: 19 175 1	YHR141C YGL073W YLR403W	97.2463333333	?|+|+	99.523	118.591	73.625
000100110: 19 86 1	YHR141C YLR223C YLR403W	84.483	+|+|bound	27.878	118.591	106.98
000100110: 19 83 10	YHR141C YPL075W YIL101C	53.5553333333	binding enriched|binding enriched|+	67.302	61.255	32.109
000100110: 19 83 1	YHR141C YPL075W YLR403W	98.094	?|+|+	143.582	118.591	32.109
000100110: 19 81 40	YHR141C YJL127C YDL005C	90.196	binding enriched|binding enriched|+	82.494	79.998	108.096
000100110: 19 18 40	YHR141C YPL254W YDL005C	73.4583333333	binding enriched|binding enriched|+	102.533	79.998	37.844
000100110: 19 10 1	YHR141C YIL101C YLR403W	99.0216666667	+|+|binding enriched	117.219	118.591	61.255
000100110: 21 478 49	YPL250C YNL068C YNL216W	74.0006666667	binding enriched|binding enriched|binding enriched	35.655	89.728	96.619
000100110: 21 355 59	YPL250C YJL056C YPR086W	85.6736666667	binding enriched|binding enriched|+	91.846	49.944	115.231
000100110: 21 355 40	YPL250C YJL056C YDL005C	95.284	binding enriched|binding enriched|+	69.852	100.769	115.231
000100110: 21 287 33	YPL250C YGR104C YGR252W	53.4123333333	binding enriched|binding enriched|binding enriched	42.159	60.089	57.989
000100110: 21 156 40	YPL250C YDR207C YDL005C	87.914	binding enriched|binding enriched|binding enriched	110.681	100.769	52.292
000100110: 21 156 20	YPL250C YDR207C YPR104C	52.3946666667	binding enriched|binding enriched|binding enriched	54.89	50.002	52.292
000100110: 21 153 44	YPL250C YDR448W YDR259C	49.0326666667	binding enriched|binding enriched|binding enriched	27.739	56.054	63.305
000100110: 21 153 12	YPL250C YDR448W YLR071C	86.6036666667	binding enriched|binding enriched|binding enriched	109.74	86.766	63.305
000100110: 21 143 49	YPL250C YDR392W YNL216W	77.3436666667	binding enriched|binding enriched|binding enriched	70.975	89.728	71.328
000100110: 21 53 40	YPL250C YNL103W YDL005C	99.132	binding enriched|binding enriched|?	94.296	100.769	102.331
000100110: 21 44 53	YPL250C YDR259C YNL103W	84.7	?|?|binding enriched	95.715	102.331	56.054
000100110: 21 44 49	YPL250C YDR259C YNL216W	73.8706666667	binding enriched|binding enriched|binding enriched	75.83	89.728	56.054
000100110: 21 20 44	YPL250C YPR104C YDR259C	57.041	binding enriched|binding enriched|binding enriched	65.067	56.054	50.002
000100110: 21 8 355	YPL250C YDR253C YJL056C	89.6376666667	?|+|bound	104.058	115.231	49.624
000100110: 22 1 31	YDL031W YLR403W YBR049C	111.206666667	binding enriched|binding enriched|?	118.46	61.353	153.807
000100110: 23 173 1	YOR110W YML007W YLR403W	142.025	?|-|binding enriched	173.848	151.741	100.486
000100110: 27 1754 23	YCR079W YKL043W YOR110W	80.3886666667	binding enriched|binding enriched|-	54.701	102.597	83.868
000100110: 27 1754 10	YCR079W YKL043W YIL101C	64.562	binding enriched|binding enriched|-	70.021	39.797	83.868
000100110: 27 10 75	YCR079W YIL101C YIL131C	33.5156666667	binding enriched|binding enriched|binding enriched	15.768	44.982	39.797
000100110: 28 44 10	YDR141C YDR259C YIL101C	61.0506666667	binding enriched|binding enriched|binding enriched	88.913	70.55	23.689
000100110: 28 10 1	YDR141C YIL101C YLR403W	105.613	+|?|binding enriched	117.219	129.07	70.55
000100110: 29 1 31	YDL170W YLR403W YBR049C	126.582666667	binding enriched|binding enriched|?	118.46	107.714	153.574
000100110: 36 175 75	YKL032C YGL073W YIL131C	66.983	binding enriched|binding enriched|+	15.988	85.182	99.779
000100110: 36 173 175	YKL032C YML007W YGL073W	76.6433333333	+|+|binding enriched	85.685	99.779	44.466
000100110: 36 173 143	YKL032C YML007W YDR392W	98.1596666667	binding enriched|binding enriched|binding enriched	135.962	114.051	44.466
000100110: 36 173 83	YKL032C YML007W YPL075W	58.6633333333	-|+|binding enriched	62.649	68.875	44.466
000100110: 36 153 12	YKL032C YDR448W YLR071C	103.399333333	binding enriched|binding enriched|binding enriched	109.74	95.244	105.214
000100110: 36 143 75	YKL032C YDR392W YIL131C	99.0883333333	binding enriched|binding enriched|binding enriched	98.032	85.182	114.051
000100110: 36 97 173	YKL032C YOR174W YML007W	84.949	binding enriched|binding enriched|binding enriched	118.245	44.466	92.136
000100110: 36 83 182	YKL032C YPL075W YBR081C	67.3886666667	binding enriched|binding enriched|+	47.725	85.566	68.875
000100110: 36 83 143	YKL032C YPL075W YDR392W	94.0413333333	binding enriched|binding enriched|+	99.198	114.051	68.875
000100110: 36 83 55	YKL032C YPL075W YER159C	91.6913333333	binding enriched|binding enriched|+	101.218	104.981	68.875
000100110: 36 83 33	YKL032C YPL075W YGR252W	92.8346666667	binding enriched|binding enriched|+	91.427	118.202	68.875
000100110: 36 83 12	YKL032C YPL075W YLR071C	82.8333333333	binding enriched|binding enriched|+	84.381	95.244	68.875
000100110: 37 36 33	YPL227C YKL032C YGR252W	92.1293333333	binding enriched|binding enriched|+	118.202	51.224	106.962
000100110: 39 387 59	YER092W YGR116W YPR086W	66.751	binding enriched|binding enriched|binding enriched	81.974	69.919	48.36
000100110: 39 248 173	YER092W YJR127C YML007W	60.0643333333	binding enriched|binding enriched|binding enriched	69.976	86.01	24.207
000100110: 39 248 143	YER092W YJR127C YDR392W	60.156	binding enriched|binding enriched|binding enriched	79.76	76.501	24.207
000100110: 39 248 40	YER092W YJR127C YDL005C	55.344	binding enriched|binding enriched|binding enriched	61.839	79.986	24.207
