id1	id2	reg	distance
YIL036W	YOR215C	-	116.047
YDL170W	YBR039W	binding enriched	112.939
YJL127C	YLR167W	+	120.134
YOR174W	YJR017C	binding enriched	92.446
YOR110W	YKL209C	binding enriched	28.715
YLR071C	YJR117W	binding enriched	65.450
YER159C	YJR006W	binding enriched	95.455
YGL073W	YIL140W	+	17.969
YIL101C	YOR243C	binding enriched	72.920
YNL103W	YLR327C	?	131.181
YCR084C	YGR090W	+	47.004
YOL148C	YHR071W	+	107.703
YDL170W	YJR008W	binding enriched	96.190
YLR403W	YLR466W	?	8.549
YLR176C	YPL204W	binding enriched	114.440
YMR223W	YBR085C-A	binding enriched	55.009
YNL068C	YPL026C	binding enriched	93.921
YMR070W	YGL032C	-	87.302
YGR252W	YEL011W	binding enriched	109.926
YIL131C	YLR222C	binding enriched	101.803
YML007W	YLR042C	binding enriched	78.667
YDL005C	YDR260C	binding enriched	119.334
YNL103W	YLR235C	?	124.024
YDR259C	YOR124C	binding enriched	66.539
YIL101C	YDR011W	binding enriched	45.864
YNL236W	YJL111W	+	28.469
YJR060W	YMR250W	-	109.873
YIL131C	YBR216C	binding enriched	54.716
YHL020C	YNL256W	-	114.650
YIL101C	YOL166W-A	binding enriched	55.787
YJR127C	YDR084C	binding enriched	49.163
YIL101C	YBL015W	binding enriched	39.381
YDR259C	YDR051C	binding enriched	66.102
YGR252W	YOR186W	binding enriched	80.890
YOR174W	YDL039C	binding enriched	72.858
YOL004W	YER044C	-	58.061
YIL131C	YGR035W-A	binding enriched	39.236
YER159C	YNL241C	binding enriched	44.377
YIL101C	YJL158C	binding enriched	54.653
YDR259C	YCR043C	binding enriched	101.045
YDR207C	YIL114C	-	93.140
YDR463W	YML129C	binding enriched	68.601
YDR253C	YML091C	bound	66.707
YEL009C	YMR195W	?	121.739
YJL127C	snR190	?	17.898
YER111C	YEL017C-A	binding enriched	80.627
YLR403W	YGR158C	?	68.671
YIR018W	YNR020C	?	36.292
YBR049C	YLR308W	binding enriched	110.105
YLR403W	YKL205W	?	137.336
YDR463W	YBR143C	binding enriched	83.436
