id1	id2	hier1	hier2	distance
YJL127C	YNL030W	Middle	Target	46.499
YMR037C	YOR068C	Middle	Target	62.691
YBR112C	YOL032W	Middle	Target	104.428
YML007W	YGR130C	Middle	Target	92.281
YPL075W	YOR280C	Middle	Target	112.430
YNL103W	YHR071W	Middle	Target	94.678
YLR403W	YGR087C	Middle	Target	91.366
YJL127C	YCR083W	Middle	Target	82.130
YDR392W	YCL025C	Middle	Target	136.098
YBR081C	YNL098C	Top	Target	84.829
YDR392W	YMR240C	Middle	Target	61.109
YML007W	YLR154C	Middle	Target	114.880
YOR110W	YHR214C-C	Middle	Target	139.232
YGL073W	YLR413W	Middle	Target	102.366
YOR174W	YER083C	Middle	Target	63.345
YDL170W	YMR164C	Middle	Middle	71.082
YLR403W	YAL034C	Middle	Target	183.425
YPR086W	YOR292C	Middle	Target	100.767
YIL101C	YGL241W	Middle	Target	56.880
YLR403W	YLR186W	Middle	Target	30.820
YLR403W	YGL225W	Middle	Target	70.043
YIL101C	YPL140C	Middle	Target	47.086
YOR110W	YGL032C	Middle	Target	86.601
YCR084C	YFL026W	Middle	Target	49.016
YER111C	YFR015C	Middle	Target	86.894
YEL009C	YPL111W	Middle	Target	111.633
YLR403W	YNL149C	Middle	Target	124.017
YIL101C	YLR081W	Middle	Target	33.753
YER040W	YOR285W	Middle	Target	75.065
YDR463W	YGR235C	Middle	Target	67.657
YDR463W	YOR034C	Middle	Target	88.987
YDR463W	YFR030W	Middle	Target	126.998
YPL075W	YGR038W	Middle	Target	79.914
YDR392W	YLR256W-A	Middle	Target	126.595
YOR174W	YDR529C	Middle	Target	27.327
